"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J2,J1,J3,J4";"TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal";4;"Conn_01x02";;;
2;"C1";"CP_Elec_3x5.4";1;"10u";;;
3;"C2,C5,C6";"C_1206_3216Metric";3;"10u";;;
4;"C3,C4";"C_1206_3216Metric";2;"100n";;;
5;"C7,C8";"C_1206_3216Metric";2;"0.1u";;;
6;"D1,D2";"LED_D5.0mm";2;"LED_Small";;;
7;"F1,F2,F3,F4";"Fuse_1812_4532Metric";4;"Fuse_Small";;;
8;"R1";"R_1206_3216Metric";1;"1k";;;
9;"R2";"R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical";1;"1k";;;
10;"SW1,SW2";"SW_DIP_SPSTx01_Piano_10.8x4.1mm_W7.62mm_P2.54mm";2;"SW_DIP_x01";;;
11;"U1";"SOT-223-3_TabPin2";1;"LD1117S33TR_SOT223";;;
12;"U2";"SOT-223-3_TabPin2";1;"LD1117S50TR_SOT223";;;
